PR,Title,Golden Bugs,Run1 Caught,Run1 Recall,Run2 Caught,Run2 Recall,Delta,Changed Bugs
8087,Async import of appStore packages,2,2,100%,2,100%,0,
10600,2FA backup codes,4,1,25%,1,25%,0,
10967,Collective multiple host destinationCalendar,5,4,80%,4,80%,0,
22345,InsightsBookingService raw queries,2,1,50%,1,50%,0,
7232,Workflow reminder management,2,2,100%,2,100%,0,
8330,Date override timezone improvements,2,2,100%,2,100%,0,
11059,OAuth credential sync,5,5,100%,5,100%,0,
14943,SMS workflow retry tracking,2,2,100%,2,100%,0,
14740,Guest management for bookings,5,3,60%,3,60%,0,
22532,Calendar cache status,2,2,100%,1,50%,-1,macOS sed syntax (Low) missed in Run 2
TOTAL,,31,24,77.4%,23,74.2%,-1,
