PR,Title,Golden Bugs,Caught,Missed,Recall,Nigel Total Findings,Extra Findings
8087,Async import of appStore packages,2,2,0,100%,5,3
10600,2FA backup codes,4,1,3,25%,9,8
10967,Collective multiple host destinationCalendar,5,4,1,80%,6,2
22345,InsightsBookingService raw queries,2,1,1,50%,6,5
7232,Workflow reminder management,2,2,0,100%,7,5
8330,Date override timezone improvements,2,2,0,100%,5,3
11059,OAuth credential sync,5,5,0,100%,11,6
14943,SMS workflow retry tracking,2,2,0,100%,4,2
14740,Guest management for bookings,5,3,2,60%,8,5
22532,Calendar cache status,2,2,0,100%,7,5
TOTAL,,31,24,7,77.4%,68,44
