PR,Title,Golden Bugs,Caught,Missed,Recall
8087,Async import of appStore packages,2,2,0,100%
10600,2FA backup codes,4,1,3,25%
10967,Collective multiple host destinationCalendar,5,4,1,80%
22345,InsightsBookingService raw queries,2,1,1,50%
7232,Workflow reminder management,2,2,0,100%
8330,Date override timezone improvements,2,2,0,100%
11059,OAuth credential sync,5,5,0,100%
14943,SMS workflow retry tracking,2,2,0,100%
14740,Guest management for bookings,5,3,2,60%
22532,Calendar cache status,2,1,1,50%
TOTAL,,31,23,8,74.2%
